unluckies,61
mihawk,41
laboon,57
carne,39
crocodile,72
oignon,25
dalton,76
igaram,62
belmer,51
brogy,68
hina,93
longscils,88
kuroobi,48
zeff,36
maitrezorro,14
octo,45
smack,49
nami,15
creek,40
kureha,78
crow,27
sandi,35
crocus,58
nojiko,46
usopp,24
toto,89
kuromarimo,75
pell,91
missmonday,63
warpol,74
missmc,87
mr11,83
missvalentine,66
arlong,43
genzo,47
piment,22
piratemontagne,6
hermep,11
gaimon,21
missdf,86
ace,81
tigre,29
shanks,1
patty,37
carotte,23
capitainemorgan,31
chopper,77
garp,52
bigs,2
baggy,16
pearl,42
siam,30
missgw,71
gyn,38
jango,28
rayley,20
carnage,17
fullbody,34
karoo,64
amiralpudding,50
vivi,59
makino,5
dorry,69
nefertari,80
ipponmatsu,54
robin,67
chaka,92
johnny,32
morge,18
yosaku,33
yasopp,3
luffy,0
benbekam,4
mr4,85
mr5,65
mr1,84
kaya,26
mr3,70
kobby,8
chess,73
kuina,13
nezumi,44
buddle,19
mr2,82
zorro,10
ladyarbida,9
tashigi,53
mr9,60
colonelmorgan,12
smoker,55
dragon,56
koza,90
hiluluk,79
maire,7
